Verkaufsstellennr.;Name 1;Name 2;Name 3;Strasse;PLZ;Ort;Adresszusatz;Typ;Öffnungszeiten Montag 1;Öffnungszeiten Montag 2;Öffnungszeiten Montag 3;Öffnungszeiten Dienstag 1;Öffnungszeiten Dienstag 2;Öffnungszeiten Dienstag 3;Öffnungszeiten Mittwoch 1;Öffnungszeiten Mittwoch 2;Öffnungszeiten Mittwoch 3;Öffnungszeiten Donnerstag 1;Öffnungszeiten Donnerstag 2;Öffnungszeiten Donnerstag 3;Öffnungszeiten Freitag 1;Öffnungszeiten Freitag 2;Öffnungszeiten Freitag 3;Öffnungszeiten Samstag 1;Öffnungszeiten Samstag 2;Öffnungszeiten Samstag 3;Öffnungszeiten Sonntag 1;Öffnungszeiten Sonntag 2;Öffnungszeiten Sonntag 3;Koord_Lat;Koord_Lon
501239;Reisezentrum Bergen (Rügen);;;Bahnhofstraße 34;18528;Bergen auf Rügen;;Reisezentrum;08:00-11:30;12:00-16:00;;08:00-11:30;12:00-16:00;;08:00-11:30;12:00-16:00;;08:00-11:30;12:00-16:00;;08:00-11:30;12:00-16:00;;;;;;;;54421360;13420562
501072;Reisezentrum Berlin Alexanderplatz;;;Dircksenstraße 7;10178;Berlin;;Reisezentrum;08:00-20:00;;;08:00-20:00;;;08:00-20:00;;;08:00-20:00;;;08:00-20:00;;;10:00-18:00;;;10:00-18:00;;;52521853;13411240
500983;Reisezentrum Berlin Friedrichstraße;;;Georgenstraße 14 - 18;10117;Berlin;;Reisezentrum;08:00-20:00;;;08:00-20:00;;;08:00-20:00;;;08:00-20:00;;;08:00-20:00;;;10:00-18:00;;;10:00-18:00;;;52520469;13387174
509273;Reisezentrum Berlin Hbf;;;Europaplatz 1;10557;Berlin;;Reisezentrum;07:00-22:00;;;07:00-22:00;;;07:00-22:00;;;07:00-22:00;;;07:00-22:00;;;07:00-22:00;;;08:00-22:00;;;52525840;13369764
501148;Reisezentrum Berlin Ostbahnhof;;;Am Ostbahnhof 9;10243;Berlin;;Reisezentrum;08:00-20:00;;;08:00-20:00;;;08:00-20:00;;;08:00-20:00;;;08:00-20:00;;;10:00-18:00;;;10:00-18:00;;;52510483;13433203
509380;Reisezentrum Berlin Südkreuz;;;General-Pape-Straße 1;12101;Berlin;;Reisezentrum;08:00-20:00;;;08:00-20:00;;;08:00-20:00;;;08:00-20:00;;;08:00-20:00;;;10:00-18:00;;;10:00-18:00;;;52475165;13365929
501270;Reisezentrum Berlin Zoologischer Garten;;;Hardenbergplatz 11;10623;Berlin;;Reisezentrum;08:00-20:00;;;08:00-20:00;;;08:00-20:00;;;08:00-20:00;;;08:00-20:00;;;10:00-18:00;;;10:00-18:00;;;52507082;13332479
501106;Reisezentrum Berlin-Spandau;;;Seegefelder Straße 1;13597;Berlin;;Reisezentrum;08:00-20:00;;;08:00-20:00;;;08:00-20:00;;;08:00-20:00;;;08:00-20:00;;;10:00-18:00;;;10:00-18:00;;;52534722;13199328
510818;Reisezentrum Berlin Gesundbrunnen;;;Badstraße 1-3;13357;Berlin;;Reisezentrum;08:00-20:00;;;08:00-20:00;;;08:00-20:00;;;08:00-20:00;;;08:00-20:00;;;10:00-18:00;;;10:00-18:00;;;52549076;13388303
501387;Reisezentrum Bitterfeld;;;Bahnhofstraße 1;6749;Bitterfeld;;Reisezentrum;07:15-12:00;12:45-17:00;;07:15-12:00;12:45-17:00;;07:15-12:00;12:45-17:00;;07:15-12:00;12:45-17:00;;07:15-12:00;12:45-17:00;;;;;;;;51622910;12318296
509984;Reisezentrum Borna;;;Bahnhofstraße 451;4552;Borna;;Reisezentrum;06:30-17:00;;;06:30-17:00;;;06:30-17:00;;;06:30-17:00;;;06:30-17:00;;;06:30-17:00;;;10:00-17:00;;;51118252;12486468
501007;Reisezentrum Brandenburg Hbf;;;Am Hauptbahnhof 9;14776;Brandenburg;;Reisezentrum;06:30-18:30;;;06:30-18:30;;;06:30-18:30;;;06:30-18:30;;;06:30-18:30;;;08:30-13:30;;;10:30-15:30;;;52401156;12566259
500900;Reisezentrum Chemnitz Hbf;;;Bahnhofstraße 1;9111;Chemnitz;;Reisezentrum;09:30-18:00;;;09:30-18:00;;;09:30-18:00;;;09:30-18:00;;;09:30-18:00;;;08:30-14:00;;;10:00-16:30;;;50839141;12929535
501171;Reisezentrum Cottbus;;;Vetschauerstr. 70;3048;Cottbus;;Reisezentrum;08:00-18:30;;;08:00-18:30;;;08:00-18:30;;;08:00-18:30;;;08:00-18:30;;;08:00-16:30;;;09:00-18:30;;;51750178;14326248
510461;Reisezentrum Delitzsch;;;Eisenbahnstraße 14;4509;Delitzsch;;Reisezentrum;06:30-09:00;09:30-17:30;;06:30-09:00;09:30-17:30;;06:30-09:00;09:30-17:30;;06:30-09:00;09:30-17:30;;06:30-09:00;09:30-17:30;;;;;;;;51524477;12345727
647362;Reisezentrum Demmin;Video-Reisezentrum;;Bahnhofstraße 23b;17109;Demmin;;Reisezentrum;08:30-16:30;;;08:30-16:30;;;08:30-16:30;;;08:30-16:30;;;08:30-16:30;;;;;;;;;53901009;13053625
501346;Reisezentrum Dessau Hbf;;;Fritz-Hesse-Straße 47;6844;Dessau;;Reisezentrum;06:30-18:30;;;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;06:30-11:30;12:00-14:30;;10:30-14:30;15:00-18:30;;51839469;12235622
501031;Reisezentrum Dresden Hbf;;;Wiener Platz 4;1069;Dresden;;Reisezentrum;07:00-21:00;;;07:00-21:00;;;07:00-21:00;;;07:00-21:00;;;07:00-21:00;;;07:00-21:00;;;07:00-21:00;;;51039124;13733315
500918;Reisezentrum Dresden-Neustadt;;;Schlesischer Platz 1;1097;Dresden;;Reisezentrum;06:45-20:00;;;06:45-20:00;;;06:45-20:00;;;06:45-20:00;;;06:45-20:00;;;07:00-20:00;;;07:00-20:00;;;51065093;13740838
510453;Reisezentrum Eilenburg;;;Bahnhofstraße 21;4838;Eilenburg;;Reisezentrum;06:30-17:30;;;06:30-17:30;;;06:30-17:30;;;06:30-17:30;;;06:30-17:30;;;;;;;;;51452243;12636773
